sku,name_ar,name_en,description_ar,description_en,brand_slug,category_slug,base_price_egp,vat_exempt,authenticity,specs_json,status
HP-CF259A,خرطوشة تونر HP 59A أصلية أسود,HP 59A Black Original Toner Cartridge,تونر أصلي من HP لطابعات LaserJet Pro M404 / M428. إنتاجية حتى 3000 صفحة.,Genuine HP toner for LaserJet Pro M404 / M428. Up to 3000 pages.,hp,toner-cartridges,2950,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF259X,خرطوشة تونر HP 59X عالية الإنتاجية أصلية أسود,HP 59X High-Yield Black Original Toner,نسخة عالية الإنتاجية لتونر HP 59X بإنتاجية 10000 صفحة.,HP 59X high-yield toner — 10000 page yield.,hp,toner-cartridges,6950,false,GENUINE,"{""pageYield"":""10000 pages"",""color"":""Black""}",ACTIVE
HP-CF258A,خرطوشة تونر HP 58A أصلية أسود,HP 58A Black Original Toner Cartridge,تونر أصلي لطابعات HP M404 / M304. إنتاجية 3000 صفحة.,Genuine HP toner for M404 / M304 series. 3000 page yield.,hp,toner-cartridges,2850,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF258X,خرطوشة تونر HP 58X عالية الإنتاجية أسود,HP 58X High-Yield Black Original Toner,نسخة 10000 صفحة من تونر HP 58.,HP 58X toner for M404 / M304 — 10000 pages.,hp,toner-cartridges,6750,false,GENUINE,"{""pageYield"":""10000 pages"",""color"":""Black""}",ACTIVE
HP-W1350A,خرطوشة تونر HP 135A أصلية أسود,HP 135A Black Original Toner Cartridge,تونر HP 135A لطابعات MFP M140 / M209. إنتاجية 1100 صفحة.,HP 135A toner for MFP M140 / M209. 1100 page yield.,hp,toner-cartridges,1850,false,GENUINE,"{""pageYield"":""1100 pages"",""color"":""Black""}",ACTIVE
HP-W1350X,خرطوشة تونر HP 135X عالية الإنتاجية,HP 135X High-Yield Black Original Toner,HP 135X بإنتاجية 2400 صفحة لطابعات M140 / M209.,HP 135X — 2400 pages for M140 / M209 series.,hp,toner-cartridges,3450,false,GENUINE,"{""pageYield"":""2400 pages"",""color"":""Black""}",ACTIVE
HP-CE285A,خرطوشة تونر HP 85A أصلية أسود,HP 85A Black Original Toner Cartridge,تونر لطابعات LaserJet Pro P1102 / M1132. إنتاجية 1600 صفحة.,Toner for LaserJet Pro P1102 / M1132. 1600 pages.,hp,toner-cartridges,2150,false,GENUINE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
HP-CF283A,خرطوشة تونر HP 83A أصلية أسود,HP 83A Black Original Toner Cartridge,تونر 83A لطابعات LaserJet Pro M125 / M127 / M201.,HP 83A for LaserJet Pro M125 / M127 / M201.,hp,toner-cartridges,2050,false,GENUINE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
HP-CF283X,خرطوشة تونر HP 83X عالية الإنتاجية أسود,HP 83X High-Yield Black Original Toner,HP 83X عالية الإنتاجية لطابعات M201 / M225 — 2200 صفحة.,HP 83X high-yield for M201 / M225 — 2200 pages.,hp,toner-cartridges,3250,false,GENUINE,"{""pageYield"":""2200 pages"",""color"":""Black""}",ACTIVE
HP-CF279A,خرطوشة تونر HP 79A أصلية أسود,HP 79A Black Original Toner Cartridge,تونر 79A لطابعات M12 / M26 / MFP M26.,HP 79A for M12 / M26 / MFP M26.,hp,toner-cartridges,1950,false,GENUINE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
HP-CC530A,خرطوشة تونر HP 304A أسود أصلية,HP 304A Black Original Toner Cartridge,تونر أسود لطابعات ColorLaserJet CP2025.,Black toner for ColorLaserJet CP2025.,hp,toner-cartridges,3950,false,GENUINE,"{""pageYield"":""3500 pages"",""color"":""Black""}",ACTIVE
HP-CC531A,خرطوشة تونر HP 304A سيان أصلية,HP 304A Cyan Original Toner Cartridge,تونر سيان لطابعات ColorLaserJet CP2025.,Cyan toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Cyan""}",ACTIVE
HP-CC532A,خرطوشة تونر HP 304A أصفر أصلية,HP 304A Yellow Original Toner Cartridge,تونر أصفر لطابعات ColorLaserJet CP2025.,Yellow toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Yellow""}",ACTIVE
HP-CC533A,خرطوشة تونر HP 304A ماجنتا أصلية,HP 304A Magenta Original Toner Cartridge,تونر ماجنتا لطابعات ColorLaserJet CP2025.,Magenta toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Magenta""}",ACTIVE
HP-CF410A,خرطوشة تونر HP 410A أسود أصلية,HP 410A Black Original Toner Cartridge,تونر HP 410A لطابعات ColorLaserJet Pro M452 / MFP M477.,HP 410A black toner for ColorLaserJet Pro M452 / MFP M477.,hp,toner-cartridges,4850,false,GENUINE,"{""pageYield"":""2300 pages"",""color"":""Black""}",ACTIVE
HP-CF411A,خرطوشة تونر HP 410A سيان أصلية,HP 410A Cyan Original Toner Cartridge,تونر HP 410A سيان لـ M452 / M477.,HP 410A cyan toner for M452 / M477.,hp,toner-cartridges,5150,false,GENUINE,"{""pageYield"":""2300 pages"",""color"":""Cyan""}",ACTIVE
HP-CF412A,خرطوشة تونر HP 410A أصفر أصلية,HP 410A Yellow Original Toner Cartridge,تونر HP 410A أصفر لـ M452 / M477.,HP 410A yellow toner for M452 / M477.,hp,toner-cartridges,5150,false,GENUINE,"{""pageYield"":""2300 pages"",""color"":""Yellow""}",ACTIVE
HP-CF413A,خرطوشة تونر HP 410A ماجنتا أصلية,HP 410A Magenta Original Toner Cartridge,تونر HP 410A ماجنتا لـ M452 / M477.,HP 410A magenta toner for M452 / M477.,hp,toner-cartridges,5150,false,GENUINE,"{""pageYield"":""2300 pages"",""color"":""Magenta""}",ACTIVE
HP-W2030A,خرطوشة تونر HP 415A أسود أصلية,HP 415A Black Original Toner Cartridge,تونر HP 415A لطابعات M454 / M479 — 2400 صفحة.,HP 415A black for M454 / M479 — 2400 pages.,hp,toner-cartridges,5450,false,GENUINE,"{""pageYield"":""2400 pages"",""color"":""Black""}",ACTIVE
HP-W2031A,خرطوشة تونر HP 415A سيان أصلية,HP 415A Cyan Original Toner Cartridge,تونر HP 415A سيان لـ M454 / M479.,HP 415A cyan for M454 / M479.,hp,toner-cartridges,5850,false,GENUINE,"{""pageYield"":""2100 pages"",""color"":""Cyan""}",ACTIVE
HP-W2032A,خرطوشة تونر HP 415A أصفر أصلية,HP 415A Yellow Original Toner Cartridge,تونر HP 415A أصفر لـ M454 / M479.,HP 415A yellow for M454 / M479.,hp,toner-cartridges,5850,false,GENUINE,"{""pageYield"":""2100 pages"",""color"":""Yellow""}",ACTIVE
HP-W2033A,خرطوشة تونر HP 415A ماجنتا أصلية,HP 415A Magenta Original Toner Cartridge,تونر HP 415A ماجنتا لـ M454 / M479.,HP 415A magenta for M454 / M479.,hp,toner-cartridges,5850,false,GENUINE,"{""pageYield"":""2100 pages"",""color"":""Magenta""}",ACTIVE
HP-Q2612A,خرطوشة تونر HP 12A أصلية أسود,HP 12A Black Original Toner Cartridge,HP 12A — تونر كلاسيكي لـ LaserJet 1010 / 1020 / 3015.,HP 12A classic toner for LaserJet 1010 / 1020 / 3015.,hp,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""2000 pages"",""color"":""Black""}",ACTIVE
HP-CE505A,خرطوشة تونر HP 05A أصلية أسود,HP 05A Black Original Toner Cartridge,HP 05A لـ LaserJet P2035 / P2055.,HP 05A for LaserJet P2035 / P2055.,hp,toner-cartridges,2950,false,GENUINE,"{""pageYield"":""2300 pages"",""color"":""Black""}",ACTIVE
HP-CE505X,خرطوشة تونر HP 05X عالية الإنتاجية أسود,HP 05X High-Yield Black Original Toner,HP 05X — 6500 صفحة لـ P2055.,HP 05X — 6500 pages for P2055.,hp,toner-cartridges,4850,false,GENUINE,"{""pageYield"":""6500 pages"",""color"":""Black""}",ACTIVE
HP-CC530A-COMP,خرطوشة تونر HP 304A أسود متوافقة,HP 304A Black Compatible Toner,بديل متوافق عالي الجودة يحل محل HP CC530A.,High-quality compatible replacement for HP CC530A.,hp,toner-cartridges,1650,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF259A-COMP,خرطوشة تونر HP 59A أسود متوافقة,HP 59A Black Compatible Toner,بديل متوافق لـ HP 59A. إنتاجية 3000 صفحة.,Compatible replacement for HP 59A. 3000 pages.,hp,toner-cartridges,1250,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF258A-COMP,خرطوشة تونر HP 58A أسود متوافقة,HP 58A Black Compatible Toner,بديل متوافق لـ HP 58A. إنتاجية 3000 صفحة.,Compatible replacement for HP 58A — 3000 pages.,hp,toner-cartridges,1195,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CE285A-COMP,خرطوشة تونر HP 85A أسود متوافقة,HP 85A Black Compatible Toner,بديل متوافق لـ HP 85A — 1600 صفحة.,Compatible HP 85A — 1600 pages.,hp,toner-cartridges,895,false,COMPATIBLE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
HP-CF283A-COMP,خرطوشة تونر HP 83A أسود متوافقة,HP 83A Black Compatible Toner,بديل متوافق لـ HP 83A — 1500 صفحة.,Compatible HP 83A — 1500 pages.,hp,toner-cartridges,950,false,COMPATIBLE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
HP-Q2612A-COMP,خرطوشة تونر HP 12A أسود متوافقة,HP 12A Black Compatible Toner,بديل متوافق لـ HP 12A — 2000 صفحة.,Compatible HP 12A — 2000 pages.,hp,toner-cartridges,850,false,COMPATIBLE,"{""pageYield"":""2000 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-FX9,خرطوشة تونر Canon FX-9 أصلية أسود,Canon FX-9 Black Original Toner,تونر Canon لطابعات L100 / L120 / MF4010.,Canon toner for L100 / L120 / MF4010.,canon,toner-cartridges,1950,false,GENUINE,"{""pageYield"":""2000 pages"",""color"":""Black""}",ACTIVE
